-----------560-----------
4777,bag,3,b a g g a g e,0 2 3 21 29 30 33,-,b a g g a g e,"Simple edit score, Progressive alignment"
4777,bag,3,b a g g a g e,2 3 4 9 30 32 33,-,b a g g a g e,"Simple edit score, Progressive alignment with LCS"
-----------4779-----------
4778,bag,4,b a g g e d,28 29 30 31 33 34,-,b a g g e d,"Simple edit score, Progressive alignment"
4778,bag,4,b a g g e d,29 30 31 32 33 35,-,b a g g e d,"Simple edit score, Progressive alignment with LCS"
-----------4780-----------
4779,bag,5,b a g g i e r,0 2 3 5 6 25 26,-,b a g g i e r,"Simple edit score, Progressive alignment"
4779,bag,5,b a g g i e r,2 3 4 9 10 21 26,-,b a g g i e r,"Simple edit score, Progressive alignment with LCS"
-----------4781-----------
4780,bag,6,b a g g i e s t,0 2 3 5 6 25 32 35,-,b a g g i e s t,"Simple edit score, Progressive alignment"
4780,bag,6,b a g g i e s t,2 3 4 9 10 21 28 34,-,b a g g i e s t,"Simple edit score, Progressive alignment with LCS"
-----------4782-----------
4781,bag,7,b a g g i n g,0 2 3 5 6 19 30,-,b a g g i n g,"Simple edit score, Progressive alignment"
4781,bag,7,b a g g i n g,2 3 4 9 10 20 32,-,b a g g i n g,"Simple edit score, Progressive alignment with LCS"
-----------4783-----------
4782,bag,8,b a g g y,28 29 30 31 35,-,b a g g y,"Simple edit score, Progressive alignment"
4782,bag,8,b a g g y,29 30 31 32 34,-,b a g g y,"Simple edit score, Progressive alignment with LCS"
-----------4784-----------
4783,bag,9,b a g p i p e,0 2 3 4 6 16 25,-,b a g p i p e,"Simple edit score, Progressive alignment"
4783,bag,9,b a g p i p e,2 3 4 5 10 11 21,-,b a g p i p e,"Simple edit score, Progressive alignment with LCS"
-----------4785-----------
4784,bag,10,b a g p i p e s,0 2 3 4 6 16 25 32,-,b a g p i p e s,"Simple edit score, Progressive alignment"
4784,bag,10,b a g p i p e s,2 3 4 5 10 11 21 28,-,b a g p i p e s,"Simple edit score, Progressive alignment with LCS"
-----------4786-----------
4785,bag,11,b a g s,28 29 30 36,-,b a g s,"Simple edit score, Progressive alignment"
4785,bag,11,b a g s,29 30 32 36,-,b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4787-----------
4786,bag,12,b a g s f u l,0 2 3 9 11 12 13,-,b a g s f u l,"Simple edit score, Progressive alignment"
4786,bag,12,b a g s f u l,2 3 4 13 15 16 17,-,b a g s f u l,"Simple edit score, Progressive alignment with LCS"
-----------4788-----------
4787,bag,13,b l u e b a g,0 13 14 15 28 29 30,-,b l u e b a g,"Simple edit score, Progressive alignment"
4787,bag,13,b l u e b a g,2 17 18 21 29 30 32,-,b l u e b a g,"Simple edit score, Progressive alignment with LCS"
-----------4789-----------
4788,bag,14,b l u e b a g s,0 13 14 15 28 29 30 36,-,b l u e b a g s,"Simple edit score, Progressive alignment"
4788,bag,14,b l u e b a g s,2 17 18 21 29 30 32 36,-,b l u e b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4790-----------
4789,bag,15,c a r p e t b a g,1 2 7 16 25 27 28 29 30,-,c a r p e t b a g,"Simple edit score, Progressive alignment"
4789,bag,15,c a r p e t b a g,1 3 5 6 21 28 29 30 32,-,c a r p e t b a g,"Simple edit score, Progressive alignment with LCS"
-----------4791-----------
4790,bag,16,c a r p e t b a g s,1 2 7 16 25 27 28 29 30 36,-,c a r p e t b a g s,"Simple edit score, Progressive alignment"
4790,bag,16,c a r p e t b a g s,1 3 5 6 21 28 29 30 32 36,-,c a r p e t b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4792-----------
4791,bag,17,c a r r i e r - b a g,1 2 7 23 24 25 26 28 29 30,-,c a r r i e r b a g,"Simple edit score, Progressive alignment"
4791,bag,17,c a r r i e r - b a g,1 3 5 8 10 21 26 29 30 32,-,c a r r i e r b a g,"Simple edit score, Progressive alignment with LCS"
-----------4793-----------
4792,bag,18,c a r r i e r - b a g s,1 2 7 23 24 25 26 28 29 30 36,-,c a r r i e r b a g s,"Simple edit score, Progressive alignment"
4792,bag,18,c a r r i e r - b a g s,1 3 5 8 10 21 26 29 30 32 36,-,c a r r i e r b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4794-----------
4793,bag,19,f e e d b a g,11 12 15 16 28 29 30,-,f e e d b a g,"Simple edit score, Progressive alignment"
4793,bag,19,f e e d b a g,15 16 21 22 29 30 32,-,f e e d b a g,"Simple edit score, Progressive alignment with LCS"
-----------4795-----------
4794,bag,20,f e e d b a g s,11 12 15 16 28 29 30 36,-,f e e d b a g s,"Simple edit score, Progressive alignment"
4794,bag,20,f e e d b a g s,15 16 21 22 29 30 32 36,-,f e e d b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4796-----------
4795,bag,21,f l e a b a g,11 13 15 18 28 29 30,-,f l e a b a g,"Simple edit score, Progressive alignment"
4795,bag,21,f l e a b a g,15 17 21 23 29 30 32,-,f l e a b a g,"Simple edit score, Progressive alignment with LCS"
-----------4797-----------
4796,bag,22,f l e a b a g s,11 13 15 18 28 29 30 36,-,f l e a b a g s,"Simple edit score, Progressive alignment"
4796,bag,22,f l e a b a g s,15 17 21 23 29 30 32 36,-,f l e a b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4798-----------
4797,bag,23,g a m e - b a g,3 18 22 25 28 29 30,-,g a m e b a g,"Simple edit score, Progressive alignment"
4797,bag,23,g a m e - b a g,4 14 19 21 29 30 32,-,g a m e b a g,"Simple edit score, Progressive alignment with LCS"
-----------4799-----------
4798,bag,24,g a m e - b a g s,3 18 22 25 28 29 30 36,-,g a m e b a g s,"Simple edit score, Progressive alignment"
4798,bag,24,g a m e - b a g s,4 14 19 21 29 30 32 36,-,g a m e b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4800-----------
4799,bag,25,g a s b a g,3 18 24 28 29 30,-,g a s b a g,"Simple edit score, Progressive alignment"
4799,bag,25,g a s b a g,4 14 28 29 30 32,-,g a s b a g,"Simple edit score, Progressive alignment with LCS"
-----------4801-----------
4800,bag,26,g a s b a g s,3 18 24 28 29 30 36,-,g a s b a g s,"Simple edit score, Progressive alignment"
4800,bag,26,g a s b a g s,4 14 28 29 30 32 36,-,g a s b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4802-----------
4801,bag,27,h a n d b a g,8 18 19 20 28 29 30,-,h a n d b a g,"Simple edit score, Progressive alignment"
4801,bag,27,h a n d b a g,11 14 20 22 29 30 32,-,h a n d b a g,"Simple edit score, Progressive alignment with LCS"
-----------4803-----------
4802,bag,28,h a n d b a g s,8 18 19 20 28 29 30 36,-,h a n d b a g s,"Simple edit score, Progressive alignment"
4802,bag,28,h a n d b a g s,11 14 20 22 29 30 32 36,-,h a n d b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4804-----------
4803,bag,29,k i t - b a g,4 6 10 28 29 30,-,k i t b a g,"Simple edit score, Progressive alignment"
4803,bag,29,k i t - b a g,7 10 12 29 30 32,-,k i t b a g,"Simple edit score, Progressive alignment with LCS"
-----------4805-----------
4804,bag,30,k i t - b a g s,4 6 10 28 29 30 36,-,k i t b a g s,"Simple edit score, Progressive alignment"
4804,bag,30,k i t - b a g s,7 10 12 29 30 32 36,-,k i t b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4806-----------
