stall: 21
square: 21
spin: 21
signal: 21
shine: 21
sheep: 21
rise: 21
respect: 21
punch: 21
poly: 21
pocket: 21
opt for: 21
occupy: 21
mother: 21
metre: 21
measure: 21
large: 21
lady: 21
join: 21
human: 21
front: 21
edit: 21
edge: 21
depend upon: 21
depend on: 21
deck: 21
cycle: 21
crash: 21
crack: 21
continue: 21
calculus: 21
ante: 21
with: 20
wax: 20
wall: 20
valid: 20
thick: 20
temper: 20
tell: 20
telegraph: 20
talk: 20
sword: 20
shadow: 20
score: 20
root: 20
quiet: 20
pale: 20
north: 20
norm: 20
noble: 20
new: 20
mast: 20
marry: 20
group: 20
fuse: 20
frost: 20
find: 20
estimate: 20
escape: 20
egg: 20
construct: 20
consider: 20
compete: 20
commune: 20
club: 20
circle: 20
centre: 20
build: 20
brush: 20
brick: 20
breed: 20
bread: 20
bid: 20
belt: 20
basket: 20
appear: 20
world: 19
where: 19
tip: 19
tangle: 19
sport: 19
sketch: 19
size: 19
separate: 19
saddle: 19
rat: 19
quote: 19
pressure: 19
poke: 19
perfect tense: 19
pearl: 19
orient: 19
net: 19
mouse: 19
minister to: 19
main: 19
magnet: 19
lord: 19
lime: 19
license: 19
leather: 19
king: 19
hen: 19
heal: 19
handle: 19
grow: 19
flag: 19
express: 19
dew: 19
crop: 19
crime: 19
correct: 19
care: 19
busy: 19
bow: 19
apply: 19
about: 19
whip: 18
weed: 18
wear: 18
waste: 18
tie: 18
thunder: 18
there: 18
tenant: 18
switch: 18
stay: 18
start: 18
spell: 18
south: 18
solve: 18
solid: 18
smith: 18
slide: 18
settle: 18
second: 18
search: 18
refer to: 18
rack: 18
pine: 18
ordain: 18
n: 18
merge: 18
mature: 18
lug: 18
lace: 18
kind: 18
just: 18
here: 18
herd: 18
hall: 18
gen: 18
folk: 18
flame: 18
final: 18
fair: 18
engine: 18
credit: 18
course: 18
construe: 18
confide: 18
coach: 18
cite: 18
capital: 18
bicycle: 18
bat: 18
warm: 17
ware: 17
think: 17
terror: 17
strain: 17
still: 17
staff: 17
single: 17
rocket: 17
pilot: 17
perfect: 17
old: 17
normal: 17
music: 17
move: 17
meat: 17
mass: 17
mad: 17
log: 17
knot: 17
indulge: 17
i: 17
hound: 17
honey: 17
help: 17
haul: 17
hat: 17
hap: 17
gum: 17
grave: 17
garden: 17
fume: 17
fool: 17
film: 17
far: 17
doze: 17
digest: 17
damp: 17
cure: 17
crow: 17
cheer: 17
butter: 17
bush: 17
burn: 17
battle: 17
ash: 17
appropriate: 17
agree: 17
account: 17
witch: 16
west: 16
week: 16
warrant: 16
wag: 16
vow: 16
trench: 16
tower: 16
thought: 16
tap: 16
sweep: 16
stream: 16
stool: 16
stitch: 16
soap: 16
small: 16
silver: 16
shift: 16
sew: 16
screen: 16
revolt: 16
regular: 16
rabbit: 16
purge: 16
prude: 16
protect: 16
profit: 16
prick: 16
price: 16
pretend: 16
pray: 16
potent: 16
posit: 16
plug: 16
plain: 16
pity: 16
needle: 16
natural: 16
mum: 16
minute: 16
link: 16
level: 16
landing: 16
lance: 16
jolly: 16
hog: 16
hedge: 16
grace: 16
goat: 16
gear: 16
frock: 16
fresh: 16
fowl: 16
fork: 16
fellow: 16
feast: 16
dish: 16
dine: 16
deal: 16
cumber: 16
crust: 16
cream: 16
comfort: 16
clutch: 16
cipher: 16
burgle: 16
bite: 16
bean: 16
bare: 16
awe: 16
are: 16
zip: 15
weave: 15
weak: 15
vigil: 15
trot: 15
toe: 15
terminate: 15
tear: 15
tar: 15
tape: 15
symbol: 15
sweat: 15
stuff: 15
stretch: 15
straight: 15
store: 15
special: 15
social: 15
slop: 15
shame: 15
shade: 15
seam: 15
script: 15
sap: 15
sale: 15
